28295,P
2895,B
3597,B
1973,B
29372,P
3067,B
3640,B
2062,B
30827,P
3341,B
4333,B
2310,B
32137,P
3497,B
4523,B
2666,B
31092,P
3631,B
4638,B
2391,B
32038,P
3866,B
5365,B
3087,B
32952,P
5278,B
6406,B
3603,B
40336,P
4366,B
6064,B
3517,B
32260,P
3675,B
4181,B
30125,P
64036,P
4454,B
7707,B
4083,B
40175,P
5030,B
7671,B
121724,I
8466,B
7489,B
9254,B
4224,B
41607,P
4467,B
7159,B
3741,B
40439,P
5133,B
8027,B
4814,B
43680,P
6469,B
9655,B
5000,B
45550,P
6711,B
10745,B
5305,B
47595,P
6945,B
11598,B
6382,B
52658,P
7989,B
13146,B
7519,B
52554,P
9128,B
13896,B
7907,B
55553,P
8883,B
13751,B
8070,B
51565,P
9657,B
14052,B
7248,B
53889,P
9014,B
14046,B
7340,B
54146,P
9286,B
13796,B
7278,B
54261,P
126153,I
12144,B
8661,B
48041,P
8465,B
13590,B
7246,B
53834,P
8117,B
13325,B
7763,B
51518,P
8812,B
13797,B
7433,B
50938,P
8563,B
13493,B
8179,B
50278,P
7243,B
24264,B
7717,B
53853,P
8566,B
35180,B
6955,B
53237,P
6274,B
27732,B
5718,B
45492,P
5459,B
22876,B
5074,B
41503,P
3686,B
17131,B
2478,B
33851,P
1636,B
11206,B
731,B
29783,P
1480,B
2045,B
20207,P
1312,B
1640,B
936,B
53050,I
790,B
927,B
1369,B
699,B
8089,P
828,B
1367,B
789,B
7100,P
941,B
1491,B
905,B
8065,P
1066,B
1721,B
969,B
7927,P
1304,B
1911,B
1126,B
8229,P
1241,B
2081,B
1078,B
8120,P
1320,B
2442,B
1160,B
8306,P
1351,B
2214,B
1205,B
8358,P
1415,B
2570,B
1405,B
7958,P
1343,B
2071,B
7425,P
4763,B
2716,B
3526,B
1116,B
18493,P
1379,B
1254,B
2074,B
1271,B
58699,I
965,B
1113,B
5640,P
898,B
1306,B
820,B
6505,P
777,B
1127,B
907,B
6548,P
1138,B
1994,B
1317,B
7153,P
1331,B
2136,B
1258,B
7865,P
1303,B
2185,B
1252,B
7705,P
1431,B
2324,B
1282,B
8208,P
1388,B
2272,B
1152,B
8215,P
1401,B
2323,B
1319,B
8097,P
1453,B
2274,B
1365,B
8135,P
1351,B
2175,B
1294,B
7903,P
1698,B
2548,B
1658,B
