n:88 mse_avg:36.20 mse_y:53.22 mse_u:2.31 mse_v:2.05 psnr_avg:32.54 psnr_y:30.87 psnr_u:44.50 psnr_v:45.02 
n:89 mse_avg:35.71 mse_y:52.48 mse_u:2.31 mse_v:2.04 psnr_avg:32.60 psnr_y:30.93 psnr_u:44.50 psnr_v:45.03 
n:90 mse_avg:35.38 mse_y:51.98 mse_u:2.31 mse_v:2.04 psnr_avg:32.64 psnr_y:30.97 psnr_u:44.50 psnr_v:45.03 
n:91 mse_avg:36.73 mse_y:54.00 mse_u:2.35 mse_v:2.06 psnr_avg:32.48 psnr_y:30.81 psnr_u:44.43 psnr_v:44.99 
n:92 mse_avg:34.83 mse_y:51.15 mse_u:2.33 mse_v:2.06 psnr_avg:32.71 psnr_y:31.04 psnr_u:44.45 psnr_v:44.99 
n:93 mse_avg:35.49 mse_y:52.14 mse_u:2.34 mse_v:2.06 psnr_avg:32.63 psnr_y:30.96 psnr_u:44.44 psnr_v:44.98 
n:94 mse_avg:37.81 mse_y:55.59 mse_u:2.37 mse_v:2.09 psnr_avg:32.36 psnr_y:30.68 psnr_u:44.39 psnr_v:44.93 
n:95 mse_avg:38.78 mse_y:57.05 mse_u:2.38 mse_v:2.09 psnr_avg:32.25 psnr_y:30.57 psnr_u:44.36 psnr_v:44.92 
n:96 mse_avg:36.26 mse_y:53.27 mse_u:2.40 mse_v:2.11 psnr_avg:32.54 psnr_y:30.87 psnr_u:44.34 psnr_v:44.89 
n:97 mse_avg:39.30 mse_y:57.80 mse_u:2.46 mse_v:2.16 psnr_avg:32.19 psnr_y:30.51 psnr_u:44.22 psnr_v:44.79 
n:98 mse_avg:38.08 mse_y:55.95 mse_u:2.47 mse_v:2.18 psnr_avg:32.32 psnr_y:30.65 psnr_u:44.20 psnr_v:44.75 
n:99 mse_avg:39.53 mse_y:58.13 mse_u:2.48 mse_v:2.19 psnr_avg:32.16 psnr_y:30.49 psnr_u:44.18 psnr_v:44.72 
n:100 mse_avg:37.74 mse_y:55.43 mse_u:2.50 mse_v:2.21 psnr_avg:32.36 psnr_y:30.69 psnr_u:44.15 psnr_v:44.69 
n:101 mse_avg:20.91 mse_y:30.57 mse_u:1.68 mse_v:1.52 psnr_avg:34.93 psnr_y:33.28 psnr_u:45.87 psnr_v:46.30 
n:102 mse_avg:27.11 mse_y:39.85 mse_u:1.71 mse_v:1.55 psnr_avg:33.80 psnr_y:32.13 psnr_u:45.80 psnr_v:46.23 
n:103 mse_avg:30.86 mse_y:45.46 mse_u:1.74 mse_v:1.57 psnr_avg:33.24 psnr_y:31.55 psnr_u:45.73 psnr_v:46.16 
n:104 mse_avg:27.92 mse_y:41.06 mse_u:1.72 mse_v:1.56 psnr_avg:33.67 psnr_y:32.00 psnr_u:45.77 psnr_v:46.20 
n:105 mse_avg:28.45 mse_y:41.86 mse_u:1.71 mse_v:1.54 psnr_avg:33.59 psnr_y:31.91 psnr_u:45.79 psnr_v:46.24 
n:106 mse_avg:28.13 mse_y:41.38 mse_u:1.72 mse_v:1.55 psnr_avg:33.64 psnr_y:31.96 psnr_u:45.77 psnr_v:46.22 
n:107 mse_avg:29.92 mse_y:44.07 mse_u:1.72 mse_v:1.56 psnr_avg:33.37 psnr_y:31.69 psnr_u:45.78 psnr_v:46.20 
n:108 mse_avg:29.46 mse_y:43.36 mse_u:1.72 mse_v:1.56 psnr_avg:33.44 psnr_y:31.76 psnr_u:45.76 psnr_v:46.19 
n:109 mse_avg:31.10 mse_y:45.82 mse_u:1.75 mse_v:1.58 psnr_avg:33.20 psnr_y:31.52 psnr_u:45.71 psnr_v:46.14 
n:110 mse_avg:31.90 mse_y:47.01 mse_u:1.76 mse_v:1.59 psnr_avg:33.09 psnr_y:31.41 psnr_u:45.68 psnr_v:46.11 
n:111 mse_avg:35.01 mse_y:51.66 mse_u:1.79 mse_v:1.61 psnr_avg:32.69 psnr_y:31.00 psnr_u:45.61 psnr_v:46.05 
n:112 mse_avg:33.81 mse_y:49.86 mse_u:1.82 mse_v:1.64 psnr_avg:32.84 psnr_y:31.15 psnr_u:45.54 psnr_v:45.99 
n:113 mse_avg:33.25 mse_y:49.00 mse_u:1.82 mse_v:1.64 psnr_avg:32.91 psnr_y:31.23 psnr_u:45.53 psnr_v:45.98 
n:114 mse_avg:33.35 mse_y:49.15 mse_u:1.85 mse_v:1.65 psnr_avg:32.90 psnr_y:31.22 psnr_u:45.46 psnr_v:45.94 
n:115 mse_avg:34.79 mse_y:51.30 mse_u:1.86 mse_v:1.67 psnr_avg:32.72 psnr_y:31.03 psnr_u:45.43 psnr_v:45.91 
n:116 mse_avg:35.26 mse_y:51.99 mse_u:1.90 mse_v:1.70 psnr_avg:32.66 psnr_y:30.97 psnr_u:45.34 psnr_v:45.83 
n:117 mse_avg:35.87 mse_y:52.89 mse_u:1.92 mse_v:1.72 psnr_avg:32.58 psnr_y:30.90 psnr_u:45.31 psnr_v:45.78 
n:118 mse_avg:36.33 mse_y:53.58 mse_u:1.94 mse_v:1.74 psnr_avg:32.53 psnr_y:30.84 psnr_u:45.25 psnr_v:45.73 
n:119 mse_avg:39.23 mse_y:57.92 mse_u:1.97 mse_v:1.76 psnr_avg:32.19 psnr_y:30.50 psnr_u:45.19 psnr_v:45.68 
n:120 mse_avg:34.72 mse_y:51.15 mse_u:1.97 mse_v:1.76 psnr_avg:32.72 psnr_y:31.04 psnr_u:45.19 psnr_v:45.67 
n:121 mse_avg:33.99 mse_y:50.06 mse_u:1.96 mse_v:1.75 psnr_avg:32.82 psnr_y:31.14 psnr_u:45.21 psnr_v:45.70 
n:122 mse_avg:32.91 mse_y:48.43 mse_u:1.98 mse_v:1.76 psnr_avg:32.96 psnr_y:31.28 psnr_u:45.17 psnr_v:45.67 
n:123 mse_avg:34.97 mse_y:51.52 mse_u:1.98 mse_v:1.77 psnr_avg:32.69 psnr_y:31.01 psnr_u:45.16 psnr_v:45.65 
n:124 mse_avg:33.44 mse_y:49.22 mse_u:1.99 mse_v:1.78 psnr_avg:32.89 psnr_y:31.21 psnr_u:45.14 psnr_v:45.63 
n:125 mse_avg:33.96 mse_y:49.99 mse_u:2.01 mse_v:1.78 psnr_avg:32.82 psnr_y:31.14 psnr_u:45.11 psnr_v:45.62 
n:126 mse_avg:35.49 mse_y:52.27 mse_u:2.06 mse_v:1.83 psnr_avg:32.63 psnr_y:30.95 psnr_u:44.99 psnr_v:45.50 
n:127 mse_avg:42.79 mse_y:63.15 mse_u:2.21 mse_v:1.94 psnr_avg:31.82 psnr_y:30.13 psnr_u:44.69 psnr_v:45.25 
n:128 mse_avg:36.94 mse_y:54.37 mse_u:2.20 mse_v:1.94 psnr_avg:32.46 psnr_y:30.78 psnr_u:44.70 psnr_v:45.24 
n:129 mse_avg:36.44 mse_y:53.62 mse_u:2.21 mse_v:1.95 psnr_avg:32.52 psnr_y:30.84 psnr_u:44.69 psnr_v:45.23 
n:130 mse_avg:35.84 mse_y:52.71 mse_u:2.22 mse_v:1.96 psnr_avg:32.59 psnr_y:30.91 psnr_u:44.67 psnr_v:45.21 
n:131 mse_avg:37.66 mse_y:55.43 mse_u:2.24 mse_v:1.97 psnr_avg:32.37 psnr_y:30.69 psnr_u:44.63 psnr_v:45.19 
n:132 mse_avg:36.18 mse_y:53.22 mse_u:2.25 mse_v:1.98 psnr_avg:32.55 psnr_y:30.87 psnr_u:44.61 psnr_v:45.17 
n:133 mse_avg:37.02 mse_y:54.46 mse_u:2.26 mse_v:2.00 psnr_avg:32.45 psnr_y:30.77 psnr_u:44.58 psnr_v:45.13 
n:134 mse_avg:38.54 mse_y:56.73 mse_u:2.30 mse_v:2.02 psnr_avg:32.27 psnr_y:30.59 psnr_u:44.51 psnr_v:45.08 
n:135 mse_avg:41.47 mse_y:61.12 mse_u:2.34 mse_v:2.04 psnr_avg:31.95 psnr_y:30.27 psnr_u:44.44 psnr_v:45.04 
n:136 mse_avg:36.20 mse_y:53.21 mse_u:2.32 mse_v:2.04 psnr_avg:32.54 psnr_y:30.87 psnr_u:44.47 psnr_v:45.04 
n:137 mse_avg:35.17 mse_y:51.67 mse_u:2.30 mse_v:2.03 psnr_avg:32.67 psnr_y:31.00 psnr_u:44.51 psnr_v:45.07 
n:138 mse_avg:34.19 mse_y:50.20 mse_u:2.31 mse_v:2.03 psnr_avg:32.79 psnr_y:31.12 psnr_u:44.49 psnr_v:45.06 
n:139 mse_avg:35.99 mse_y:52.90 mse_u:2.32 mse_v:2.03 psnr_avg:32.57 psnr_y:30.90 psnr_u:44.48 psnr_v:45.05 
n:140 mse_avg:34.15 mse_y:50.14 mse_u:2.32 mse_v:2.04 psnr_avg:32.80 psnr_y:31.13 psnr_u:44.48 psnr_v:45.03 
n:141 mse_avg:35.42 mse_y:52.04 mse_u:2.33 mse_v:2.04 psnr_avg:32.64 psnr_y:30.97 psnr_u:44.46 psnr_v:45.03 
n:142 mse_avg:37.57 mse_y:55.25 mse_u:2.36 mse_v:2.08 psnr_avg:32.38 psnr_y:30.71 psnr_u:44.40 psnr_v:44.96 
n:143 mse_avg:38.21 mse_y:56.21 mse_u:2.38 mse_v:2.08 psnr_avg:32.31 psnr_y:30.63 psnr_u:44.37 psnr_v:44.95 
n:144 mse_avg:34.54 mse_y:50.69 mse_u:2.37 mse_v:2.08 psnr_avg:32.75 psnr_y:31.08 psnr_u:44.39 psnr_v:44.94 
n:145 mse_avg:34.67 mse_y:50.88 mse_u:2.38 mse_v:2.10 psnr_avg:32.73 psnr_y:31.07 psnr_u:44.37 psnr_v:44.92 
n:146 mse_avg:36.03 mse_y:52.90 mse_u:2.42 mse_v:2.13 psnr_avg:32.56 psnr_y:30.90 psnr_u:44.29 psnr_v:44.86 
n:147 mse_avg:36.61 mse_y:53.77 mse_u:2.44 mse_v:2.13 psnr_avg:32.50 psnr_y:30.83 psnr_u:44.26 psnr_v:44.84 
n:148 mse_avg:36.16 mse_y:53.09 mse_u:2.45 mse_v:2.15 psnr_avg:32.55 psnr_y:30.88 psnr_u:44.24 psnr_v:44.81 
n:149 mse_avg:38.08 mse_y:55.95 mse_u:2.48 mse_v:2.17 psnr_avg:32.32 psnr_y:30.65 psnr_u:44.19 psnr_v:44.77 
n:150 mse_avg:40.22 mse_y:59.15 mse_u:2.52 mse_v:2.19 psnr_avg:32.09 psnr_y:30.41 psnr_u:44.11 psnr_v:44.72 
n:151 mse_avg:20.16 mse_y:29.42 mse_u:1.73 mse_v:1.57 psnr_avg:35.09 psnr_y:33.44 psnr_u:45.74 psnr_v:46.17 
n:152 mse_avg:25.43 mse_y:37.32 mse_u:1.74 mse_v:1.58 psnr_avg:34.08 psnr_y:32.41 psnr_u:45.72 psnr_v:46.16 
n:153 mse_avg:26.28 mse_y:38.59 mse_u:1.75 mse_v:1.57 psnr_avg:33.93 psnr_y:32.27 psnr_u:45.71 psnr_v:46.16 
n:154 mse_avg:29.18 mse_y:42.93 mse_u:1.75 mse_v:1.58 psnr_avg:33.48 psnr_y:31.80 psnr_u:45.71 psnr_v:46.14 
n:155 mse_avg:28.48 mse_y:41.88 mse_u:1.76 mse_v:1.58 psnr_avg:33.59 psnr_y:31.91 psnr_u:45.69 psnr_v:46.14 
n:156 mse_avg:30.93 mse_y:45.55 mse_u:1.77 mse_v:1.59 psnr_avg:33.23 psnr_y:31.55 psnr_u:45.64 psnr_v:46.10 
n:157 mse_avg:35.18 mse_y:51.91 mse_u:1.81 mse_v:1.63 psnr_avg:32.67 psnr_y:30.98 psnr_u:45.55 psnr_v:46.02 
n:158 mse_avg:35.65 mse_y:52.61 mse_u:1.83 mse_v:1.65 psnr_avg:32.61 psnr_y:30.92 psnr_u:45.50 psnr_v:45.96 
n:159 mse_avg:48.27 mse_y:71.21 mse_u:2.57 mse_v:2.22 psnr_avg:31.29 psnr_y:29.61 psnr_u:44.03 psnr_v:44.67 
n:160 mse_avg:43.30 mse_y:63.80 mse_u:2.48 mse_v:2.14 psnr_avg:31.77 psnr_y:30.08 psnr_u:44.18 psnr_v:44.83 
n:161 mse_avg:41.08 mse_y:60.47 mse_u:2.46 mse_v:2.12 psnr_avg:31.99 psnr_y:30.32 psnr_u:44.23 psnr_v:44.86 
n:162 mse_avg:37.58 mse_y:55.24 mse_u:2.44 mse_v:2.11 psnr_avg:32.38 psnr_y:30.71 psnr_u:44.26 psnr_v:44.89 
n:163 mse_avg:38.99 mse_y:57.37 mse_u:2.42 mse_v:2.09 psnr_avg:32.22 psnr_y:30.54 psnr_u:44.30 psnr_v:44.93 
n:164 mse_avg:37.99 mse_y:55.86 mse_u:2.40 mse_v:2.08 psnr_avg:32.33 psnr_y:30.66 psnr_u:44.32 psnr_v:44.95 
n:165 mse_avg:37.02 mse_y:54.41 mse_u:2.39 mse_v:2.07 psnr_avg:32.45 psnr_y:30.77 psnr_u:44.35 psnr_v:44.98 
n:166 mse_avg:36.77 mse_y:54.04 mse_u:2.39 mse_v:2.07 psnr_avg:32.48 psnr_y:30.80 psnr_u:44.35 psnr_v:44.98 
n:167 mse_avg:40.85 mse_y:60.16 mse_u:2.42 mse_v:2.08 psnr_avg:32.02 psnr_y:30.34 psnr_u:44.30 psnr_v:44.95 
n:168 mse_avg:38.20 mse_y:56.19 mse_u:2.39 mse_v:2.06 psnr_avg:32.31 psnr_y:30.63 psnr_u:44.35 psnr_v:45.00 
