n:56 mse_avg:165.86 mse_y:242.52 mse_u:12.36 mse_v:12.71 psnr_avg:25.93 psnr_y:24.28 psnr_u:37.21 psnr_v:37.09 
n:57 mse_avg:163.40 mse_y:238.88 mse_u:12.25 mse_v:12.66 psnr_avg:26.00 psnr_y:24.35 psnr_u:37.25 psnr_v:37.11 
n:58 mse_avg:164.81 mse_y:240.87 mse_u:12.48 mse_v:12.88 psnr_avg:25.96 psnr_y:24.31 psnr_u:37.17 psnr_v:37.03 
n:59 mse_avg:167.83 mse_y:245.41 mse_u:12.56 mse_v:12.77 psnr_avg:25.88 psnr_y:24.23 psnr_u:37.14 psnr_v:37.07 
n:60 mse_avg:169.18 mse_y:247.35 mse_u:12.74 mse_v:12.96 psnr_avg:25.85 psnr_y:24.20 psnr_u:37.08 psnr_v:37.01 
n:61 mse_avg:169.06 mse_y:247.16 mse_u:12.74 mse_v:12.96 psnr_avg:25.85 psnr_y:24.20 psnr_u:37.08 psnr_v:37.01 
n:62 mse_avg:168.79 mse_y:246.67 mse_u:12.90 mse_v:13.13 psnr_avg:25.86 psnr_y:24.21 psnr_u:37.02 psnr_v:36.95 
n:63 mse_avg:167.87 mse_y:245.29 mse_u:12.92 mse_v:13.16 psnr_avg:25.88 psnr_y:24.23 psnr_u:37.02 psnr_v:36.94 
n:64 mse_avg:168.82 mse_y:246.62 mse_u:13.09 mse_v:13.35 psnr_avg:25.86 psnr_y:24.21 psnr_u:36.96 psnr_v:36.88 
n:65 mse_avg:171.78 mse_y:251.00 mse_u:13.29 mse_v:13.39 psnr_avg:25.78 psnr_y:24.13 psnr_u:36.90 psnr_v:36.86 
n:66 mse_avg:172.55 mse_y:252.10 mse_u:13.37 mse_v:13.51 psnr_avg:25.76 psnr_y:24.12 psnr_u:36.87 psnr_v:36.82 
n:67 mse_avg:170.47 mse_y:249.00 mse_u:13.26 mse_v:13.55 psnr_avg:25.81 psnr_y:24.17 psnr_u:36.91 psnr_v:36.81 
n:68 mse_avg:171.81 mse_y:250.91 mse_u:13.43 mse_v:13.75 psnr_avg:25.78 psnr_y:24.14 psnr_u:36.85 psnr_v:36.75 
n:69 mse_avg:173.22 mse_y:253.02 mse_u:13.45 mse_v:13.77 psnr_avg:25.74 psnr_y:24.10 psnr_u:36.84 psnr_v:36.74 
n:70 mse_avg:177.45 mse_y:259.25 mse_u:13.76 mse_v:13.98 psnr_avg:25.64 psnr_y:23.99 psnr_u:36.74 psnr_v:36.68 
n:71 mse_avg:176.31 mse_y:257.56 mse_u:13.67 mse_v:13.97 psnr_avg:25.67 psnr_y:24.02 psnr_u:36.77 psnr_v:36.68 
n:72 mse_avg:177.04 mse_y:258.59 mse_u:13.78 mse_v:14.10 psnr_avg:25.65 psnr_y:24.00 psnr_u:36.74 psnr_v:36.64 
n:73 mse_avg:179.25 mse_y:261.87 mse_u:13.89 mse_v:14.15 psnr_avg:25.60 psnr_y:23.95 psnr_u:36.70 psnr_v:36.62 
n:74 mse_avg:181.01 mse_y:264.42 mse_u:14.10 mse_v:14.29 psnr_avg:25.55 psnr_y:23.91 psnr_u:36.64 psnr_v:36.58 
