n:74 mse_avg:0.39 mse_y:0.49 mse_u:0.20 mse_v:0.19 psnr_avg:52.18 psnr_y:51.20 psnr_u:55.22 psnr_v:55.25 
n:75 mse_avg:0.40 mse_y:0.51 mse_u:0.20 mse_v:0.20 psnr_avg:52.06 psnr_y:51.07 psnr_u:55.20 psnr_v:55.20 
n:76 mse_avg:0.40 mse_y:0.50 mse_u:0.20 mse_v:0.20 psnr_avg:52.10 psnr_y:51.13 psnr_u:55.09 psnr_v:55.08 
n:77 mse_avg:0.40 mse_y:0.50 mse_u:0.20 mse_v:0.20 psnr_avg:52.08 psnr_y:51.10 psnr_u:55.12 psnr_v:55.10 
n:78 mse_avg:0.40 mse_y:0.50 mse_u:0.20 mse_v:0.20 psnr_avg:52.09 psnr_y:51.13 psnr_u:55.09 psnr_v:55.09 
n:79 mse_avg:0.40 mse_y:0.50 mse_u:0.20 mse_v:0.20 psnr_avg:52.12 psnr_y:51.14 psnr_u:55.19 psnr_v:55.20 
n:80 mse_avg:0.40 mse_y:0.49 mse_u:0.23 mse_v:0.22 psnr_avg:52.06 psnr_y:51.19 psnr_u:54.59 psnr_v:54.66 
n:81 mse_avg:0.41 mse_y:0.50 mse_u:0.22 mse_v:0.22 psnr_avg:52.04 psnr_y:51.15 psnr_u:54.67 psnr_v:54.70 
n:82 mse_avg:0.41 mse_y:0.50 mse_u:0.22 mse_v:0.22 psnr_avg:52.01 psnr_y:51.13 psnr_u:54.64 psnr_v:54.64 
n:83 mse_avg:0.41 mse_y:0.51 mse_u:0.22 mse_v:0.22 psnr_avg:51.95 psnr_y:51.05 psnr_u:54.67 psnr_v:54.64 
n:84 mse_avg:0.41 mse_y:0.50 mse_u:0.22 mse_v:0.23 psnr_avg:52.00 psnr_y:51.12 psnr_u:54.65 psnr_v:54.60 
n:85 mse_avg:0.42 mse_y:0.51 mse_u:0.22 mse_v:0.23 psnr_avg:51.93 psnr_y:51.04 psnr_u:54.64 psnr_v:54.51 
n:86 mse_avg:0.42 mse_y:0.51 mse_u:0.22 mse_v:0.23 psnr_avg:51.91 psnr_y:51.03 psnr_u:54.62 psnr_v:54.46 
n:87 mse_avg:0.43 mse_y:0.53 mse_u:0.22 mse_v:0.23 psnr_avg:51.79 psnr_y:50.87 psnr_u:54.63 psnr_v:54.51 
n:88 mse_avg:0.42 mse_y:0.52 mse_u:0.23 mse_v:0.23 psnr_avg:51.87 psnr_y:50.97 psnr_u:54.59 psnr_v:54.51 
n:89 mse_avg:0.42 mse_y:0.52 mse_u:0.22 mse_v:0.23 psnr_avg:51.87 psnr_y:50.96 psnr_u:54.63 psnr_v:54.55 
n:90 mse_avg:0.42 mse_y:0.52 mse_u:0.22 mse_v:0.23 psnr_avg:51.86 psnr_y:50.96 psnr_u:54.61 psnr_v:54.50 
n:91 mse_avg:0.43 mse_y:0.53 mse_u:0.22 mse_v:0.23 psnr_avg:51.79 psnr_y:50.87 psnr_u:54.65 psnr_v:54.55 
n:92 mse_avg:0.42 mse_y:0.52 mse_u:0.22 mse_v:0.23 psnr_avg:51.88 psnr_y:50.97 psnr_u:54.66 psnr_v:54.57 
n:93 mse_avg:0.42 mse_y:0.52 mse_u:0.22 mse_v:0.23 psnr_avg:51.86 psnr_y:50.94 psnr_u:54.69 psnr_v:54.60 
n:94 mse_avg:0.42 mse_y:0.52 mse_u:0.22 mse_v:0.23 psnr_avg:51.91 psnr_y:51.00 psnr_u:54.67 psnr_v:54.59 
n:95 mse_avg:0.43 mse_y:0.53 mse_u:0.22 mse_v:0.22 psnr_avg:51.84 psnr_y:50.90 psnr_u:54.74 psnr_v:54.67 
n:96 mse_avg:0.42 mse_y:0.51 mse_u:0.23 mse_v:0.22 psnr_avg:51.92 psnr_y:51.03 psnr_u:54.56 psnr_v:54.61 
n:97 mse_avg:0.42 mse_y:0.51 mse_u:0.23 mse_v:0.22 psnr_avg:51.94 psnr_y:51.04 psnr_u:54.57 psnr_v:54.62 
n:98 mse_avg:0.42 mse_y:0.51 mse_u:0.23 mse_v:0.23 psnr_avg:51.92 psnr_y:51.02 psnr_u:54.56 psnr_v:54.56 
n:99 mse_avg:0.42 mse_y:0.52 mse_u:0.22 mse_v:0.23 psnr_avg:51.89 psnr_y:50.98 psnr_u:54.62 psnr_v:54.60 
n:100 mse_avg:0.42 mse_y:0.52 mse_u:0.23 mse_v:0.23 psnr_avg:51.89 psnr_y:51.00 psnr_u:54.56 psnr_v:54.53 
n:101 mse_avg:0.19 mse_y:0.23 mse_u:0.13 mse_v:0.13 psnr_avg:55.25 psnr_y:54.57 psnr_u:57.13 psnr_v:56.98 
n:102 mse_avg:0.31 mse_y:0.39 mse_u:0.14 mse_v:0.15 psnr_avg:53.27 psnr_y:52.24 psnr_u:56.66 psnr_v:56.48 
n:103 mse_avg:0.35 mse_y:0.44 mse_u:0.15 mse_v:0.16 psnr_avg:52.73 psnr_y:51.67 psnr_u:56.38 psnr_v:56.18 
