n:62 mse_avg:0.32 mse_y:0.36 mse_u:0.24 mse_v:0.26 psnr_avg:53.05 psnr_y:52.60 psnr_u:54.30 psnr_v:53.96 
n:63 mse_avg:0.32 mse_y:0.36 mse_u:0.25 mse_v:0.27 psnr_avg:53.03 psnr_y:52.60 psnr_u:54.23 psnr_v:53.88 
n:64 mse_avg:0.32 mse_y:0.36 mse_u:0.25 mse_v:0.26 psnr_avg:53.02 psnr_y:52.58 psnr_u:54.21 psnr_v:53.90 
n:65 mse_avg:0.33 mse_y:0.36 mse_u:0.25 mse_v:0.27 psnr_avg:52.96 psnr_y:52.51 psnr_u:54.21 psnr_v:53.89 
n:66 mse_avg:0.33 mse_y:0.37 mse_u:0.25 mse_v:0.27 psnr_avg:52.93 psnr_y:52.48 psnr_u:54.13 psnr_v:53.84 
n:67 mse_avg:0.34 mse_y:0.37 mse_u:0.25 mse_v:0.27 psnr_avg:52.88 psnr_y:52.40 psnr_u:54.18 psnr_v:53.87 
n:68 mse_avg:0.33 mse_y:0.37 mse_u:0.24 mse_v:0.26 psnr_avg:52.95 psnr_y:52.47 psnr_u:54.26 psnr_v:53.93 
n:69 mse_avg:0.33 mse_y:0.37 mse_u:0.25 mse_v:0.27 psnr_avg:52.89 psnr_y:52.42 psnr_u:54.20 psnr_v:53.87 
n:70 mse_avg:0.33 mse_y:0.37 mse_u:0.25 mse_v:0.27 psnr_avg:52.88 psnr_y:52.40 psnr_u:54.19 psnr_v:53.88 
n:71 mse_avg:0.34 mse_y:0.38 mse_u:0.25 mse_v:0.27 psnr_avg:52.85 psnr_y:52.37 psnr_u:54.18 psnr_v:53.86 
n:72 mse_avg:0.34 mse_y:0.38 mse_u:0.25 mse_v:0.27 psnr_avg:52.79 psnr_y:52.30 psnr_u:54.13 psnr_v:53.80 
n:73 mse_avg:0.34 mse_y:0.38 mse_u:0.25 mse_v:0.27 psnr_avg:52.80 psnr_y:52.33 psnr_u:54.09 psnr_v:53.80 
n:74 mse_avg:0.34 mse_y:0.38 mse_u:0.25 mse_v:0.27 psnr_avg:52.80 psnr_y:52.29 psnr_u:54.15 psnr_v:53.89 
n:75 mse_avg:0.34 mse_y:0.38 mse_u:0.25 mse_v:0.27 psnr_avg:52.80 psnr_y:52.32 psnr_u:54.13 psnr_v:53.81 
n:76 mse_avg:0.33 mse_y:0.37 mse_u:0.25 mse_v:0.27 psnr_avg:52.91 psnr_y:52.48 psnr_u:54.11 psnr_v:53.80 
n:77 mse_avg:0.33 mse_y:0.36 mse_u:0.25 mse_v:0.27 psnr_avg:52.94 psnr_y:52.51 psnr_u:54.11 psnr_v:53.78 
