n:57 mse_avg:6.28 mse_y:8.83 mse_u:1.07 mse_v:1.29 psnr_avg:40.15 psnr_y:38.67 psnr_u:47.83 psnr_v:47.03 
n:58 mse_avg:6.10 mse_y:8.57 mse_u:1.07 mse_v:1.27 psnr_avg:40.28 psnr_y:38.80 psnr_u:47.84 psnr_v:47.08 
n:59 mse_avg:6.24 mse_y:8.77 mse_u:1.07 mse_v:1.28 psnr_avg:40.18 psnr_y:38.70 psnr_u:47.83 psnr_v:47.06 
n:60 mse_avg:6.36 mse_y:8.94 mse_u:1.10 mse_v:1.29 psnr_avg:40.10 psnr_y:38.62 psnr_u:47.73 psnr_v:47.04 
n:61 mse_avg:6.96 mse_y:9.81 mse_u:1.15 mse_v:1.36 psnr_avg:39.71 psnr_y:38.21 psnr_u:47.52 psnr_v:46.81 
n:62 mse_avg:6.59 mse_y:9.24 mse_u:1.16 mse_v:1.37 psnr_avg:39.94 psnr_y:38.47 psnr_u:47.47 psnr_v:46.76 
n:63 mse_avg:6.60 mse_y:9.27 mse_u:1.16 mse_v:1.37 psnr_avg:39.94 psnr_y:38.46 psnr_u:47.49 psnr_v:46.77 
n:64 mse_avg:6.38 mse_y:8.95 mse_u:1.15 mse_v:1.36 psnr_avg:40.08 psnr_y:38.61 psnr_u:47.51 psnr_v:46.80 
n:65 mse_avg:7.19 mse_y:10.13 mse_u:1.20 mse_v:1.42 psnr_avg:39.56 psnr_y:38.07 psnr_u:47.33 psnr_v:46.62 
n:66 mse_avg:6.92 mse_y:9.74 mse_u:1.19 mse_v:1.38 psnr_avg:39.73 psnr_y:38.25 psnr_u:47.38 psnr_v:46.72 
n:67 mse_avg:6.77 mse_y:9.52 mse_u:1.19 mse_v:1.39 psnr_avg:39.82 psnr_y:38.35 psnr_u:47.38 psnr_v:46.71 
n:68 mse_avg:6.38 mse_y:8.92 mse_u:1.19 mse_v:1.38 psnr_avg:40.08 psnr_y:38.63 psnr_u:47.36 psnr_v:46.72 
n:69 mse_avg:6.86 mse_y:9.62 mse_u:1.24 mse_v:1.42 psnr_avg:39.77 psnr_y:38.30 psnr_u:47.20 psnr_v:46.61 
n:70 mse_avg:6.51 mse_y:9.10 mse_u:1.23 mse_v:1.40 psnr_avg:40.00 psnr_y:38.54 psnr_u:47.23 psnr_v:46.68 
n:71 mse_avg:6.62 mse_y:9.27 mse_u:1.25 mse_v:1.43 psnr_avg:39.92 psnr_y:38.46 psnr_u:47.16 psnr_v:46.59 
n:72 mse_avg:6.81 mse_y:9.53 mse_u:1.28 mse_v:1.43 psnr_avg:39.80 psnr_y:38.34 psnr_u:47.07 psnr_v:46.59 
n:73 mse_avg:7.28 mse_y:10.18 mse_u:1.39 mse_v:1.58 psnr_avg:39.51 psnr_y:38.05 psnr_u:46.70 psnr_v:46.16 
n:74 mse_avg:6.64 mse_y:9.23 mse_u:1.37 mse_v:1.54 psnr_avg:39.91 psnr_y:38.48 psnr_u:46.76 psnr_v:46.25 
n:75 mse_avg:6.49 mse_y:9.02 mse_u:1.33 mse_v:1.52 psnr_avg:40.01 psnr_y:38.58 psnr_u:46.91 psnr_v:46.32 
n:76 mse_avg:6.45 mse_y:8.97 mse_u:1.32 mse_v:1.51 psnr_avg:40.03 psnr_y:38.60 psnr_u:46.94 psnr_v:46.35 
n:77 mse_avg:7.14 mse_y:9.98 mse_u:1.35 mse_v:1.55 psnr_avg:39.60 psnr_y:38.14 psnr_u:46.82 psnr_v:46.23 
n:78 mse_avg:6.62 mse_y:9.23 mse_u:1.31 mse_v:1.50 psnr_avg:39.92 psnr_y:38.48 psnr_u:46.94 psnr_v:46.36 
n:79 mse_avg:6.43 mse_y:8.95 mse_u:1.31 mse_v:1.50 psnr_avg:40.05 psnr_y:38.61 psnr_u:46.95 psnr_v:46.38 
n:80 mse_avg:6.37 mse_y:8.84 mse_u:1.32 mse_v:1.50 psnr_avg:40.09 psnr_y:38.66 psnr_u:46.91 psnr_v:46.38 
n:81 mse_avg:6.80 mse_y:9.48 mse_u:1.34 mse_v:1.53 psnr_avg:39.81 psnr_y:38.36 psnr_u:46.85 psnr_v:46.28 
n:82 mse_avg:6.32 mse_y:8.77 mse_u:1.35 mse_v:1.50 psnr_avg:40.12 psnr_y:38.70 psnr_u:46.82 psnr_v:46.36 
n:83 mse_avg:6.50 mse_y:9.03 mse_u:1.36 mse_v:1.51 psnr_avg:40.00 psnr_y:38.57 psnr_u:46.78 psnr_v:46.33 
n:84 mse_avg:6.62 mse_y:9.21 mse_u:1.38 mse_v:1.52 psnr_avg:39.92 psnr_y:38.49 psnr_u:46.72 psnr_v:46.31 
n:85 mse_avg:6.85 mse_y:9.54 mse_u:1.40 mse_v:1.55 psnr_avg:39.77 psnr_y:38.34 psnr_u:46.68 psnr_v:46.22 
n:86 mse_avg:6.34 mse_y:8.78 mse_u:1.39 mse_v:1.54 psnr_avg:40.11 psnr_y:38.69 psnr_u:46.69 psnr_v:46.26 
n:87 mse_avg:6.41 mse_y:8.87 mse_u:1.40 mse_v:1.56 psnr_avg:40.06 psnr_y:38.65 psnr_u:46.66 psnr_v:46.21 
n:88 mse_avg:6.52 mse_y:9.05 mse_u:1.38 mse_v:1.55 psnr_avg:39.99 psnr_y:38.56 psnr_u:46.73 psnr_v:46.24 
n:89 mse_avg:7.24 mse_y:10.13 mse_u:1.35 mse_v:1.57 psnr_avg:39.53 psnr_y:38.07 psnr_u:46.83 psnr_v:46.16 
